Model,N,Class,Result
ResneXt50,3,27,0.005263158
ResneXt50,3,28,0.668421053
ResneXt50,3,29,0.410526316
MobileNetV2,4,Total,0.357192982
MobileNetV2,4,0,0.321052632
MobileNetV2,4,1,0.363157895
MobileNetV2,4,2,0.247368421
MobileNetV2,4,3,0.278947368
MobileNetV2,4,4,0.589473684
MobileNetV2,4,5,0.621052632
MobileNetV2,4,6,0.5
MobileNetV2,4,7,0.457894737
MobileNetV2,4,8,0.394736842
MobileNetV2,4,9,0.173684211
MobileNetV2,4,10,0.389473684
MobileNetV2,4,11,0.242105263
MobileNetV2,4,12,0.284210526
MobileNetV2,4,13,0.110526316
MobileNetV2,4,14,0.305263158
MobileNetV2,4,15,0.331578947
MobileNetV2,4,16,0.347368421
MobileNetV2,4,17,0.363157895
MobileNetV2,4,18,0.521052632
MobileNetV2,4,19,0.652631579
MobileNetV2,4,20,0.284210526
MobileNetV2,4,21,0.347368421
MobileNetV2,4,22,0.568421053
MobileNetV2,4,23,0.236842105
MobileNetV2,4,24,0.468421053
MobileNetV2,4,25,0.252631579
MobileNetV2,4,26,0.057894737
MobileNetV2,4,27,0.331578947
MobileNetV2,4,28,0.526315789
MobileNetV2,4,29,0.147368421
InceptionResnetV2,4,Total,0.518421053
InceptionResnetV2,4,0,0.410526316
InceptionResnetV2,4,1,0.536842105
InceptionResnetV2,4,2,0.405263158
InceptionResnetV2,4,3,0.405263158
InceptionResnetV2,4,4,0.510526316
InceptionResnetV2,4,5,0.752631579
InceptionResnetV2,4,6,0.647368421
InceptionResnetV2,4,7,0.578947368
InceptionResnetV2,4,8,0.642105263
InceptionResnetV2,4,9,0.273684211
InceptionResnetV2,4,10,0.384210526
InceptionResnetV2,4,11,0.473684211
InceptionResnetV2,4,12,0.484210526
InceptionResnetV2,4,13,0.478947368
InceptionResnetV2,4,14,0.452631579
InceptionResnetV2,4,15,0.489473684
InceptionResnetV2,4,16,0.536842105
InceptionResnetV2,4,17,0.652631579
InceptionResnetV2,4,18,0.468421053
InceptionResnetV2,4,19,0.168421053
InceptionResnetV2,4,20,0.373684211
InceptionResnetV2,4,21,0.605263158
InceptionResnetV2,4,22,0.642105263
InceptionResnetV2,4,23,0.642105263
InceptionResnetV2,4,24,0.621052632
InceptionResnetV2,4,25,0.378947368
InceptionResnetV2,4,26,0.568421053
InceptionResnetV2,4,27,0.473684211
InceptionResnetV2,4,28,0.794736842
InceptionResnetV2,4,29,0.7
ResneXt50,4,Total,0.303157895
ResneXt50,4,0,0.152631579
ResneXt50,4,1,0.684210526
ResneXt50,4,2,0.073684211
ResneXt50,4,3,0.278947368
ResneXt50,4,4,0.415789474
ResneXt50,4,5,0.647368421
ResneXt50,4,6,0.3
ResneXt50,4,7,0.284210526
ResneXt50,4,8,0.215789474
ResneXt50,4,9,0.010526316
ResneXt50,4,10,0.3
ResneXt50,4,11,0.426315789
ResneXt50,4,12,0.026315789
ResneXt50,4,13,0.078947368
ResneXt50,4,14,0.526315789
ResneXt50,4,15,0.1
ResneXt50,4,16,0.447368421
ResneXt50,4,17,0.384210526
ResneXt50,4,18,0.278947368
ResneXt50,4,19,0.247368421
ResneXt50,4,20,0.263157895
ResneXt50,4,21,0.015789474
ResneXt50,4,22,0.6
ResneXt50,4,23,0.005263158
ResneXt50,4,24,0.484210526
ResneXt50,4,25,0.526315789
ResneXt50,4,26,0.042105263
ResneXt50,4,27,0.057894737
ResneXt50,4,28,0.710526316
ResneXt50,4,29,0.510526316
MobileNetV2,5,Total,0.412982456
MobileNetV2,5,0,0.357894737
MobileNetV2,5,1,0.431578947
MobileNetV2,5,2,0.336842105
MobileNetV2,5,3,0.294736842
MobileNetV2,5,4,0.642105263
MobileNetV2,5,5,0.652631579
MobileNetV2,5,6,0.536842105
MobileNetV2,5,7,0.515789474
MobileNetV2,5,8,0.473684211
MobileNetV2,5,9,0.268421053
MobileNetV2,5,10,0.442105263
MobileNetV2,5,11,0.310526316
MobileNetV2,5,12,0.347368421
MobileNetV2,5,13,0.152631579
MobileNetV2,5,14,0.342105263
MobileNetV2,5,15,0.394736842
MobileNetV2,5,16,0.394736842
MobileNetV2,5,17,0.426315789
MobileNetV2,5,18,0.594736842
MobileNetV2,5,19,0.715789474
MobileNetV2,5,20,0.363157895
MobileNetV2,5,21,0.426315789
MobileNetV2,5,22,0.605263158
MobileNetV2,5,23,0.3
MobileNetV2,5,24,0.526315789
MobileNetV2,5,25,0.363157895
MobileNetV2,5,26,0.068421053
MobileNetV2,5,27,0.368421053
MobileNetV2,5,28,0.552631579
MobileNetV2,5,29,0.184210526
InceptionResnetV2,5,Total,0.575614035
InceptionResnetV2,5,0,0.468421053
InceptionResnetV2,5,1,0.621052632
InceptionResnetV2,5,2,0.468421053
InceptionResnetV2,5,3,0.415789474
InceptionResnetV2,5,4,0.589473684
InceptionResnetV2,5,5,0.789473684
InceptionResnetV2,5,6,0.705263158
InceptionResnetV2,5,7,0.6
InceptionResnetV2,5,8,0.710526316
InceptionResnetV2,5,9,0.331578947
InceptionResnetV2,5,10,0.421052632
InceptionResnetV2,5,11,0.542105263
InceptionResnetV2,5,12,0.589473684
InceptionResnetV2,5,13,0.568421053
InceptionResnetV2,5,14,0.505263158
InceptionResnetV2,5,15,0.584210526
InceptionResnetV2,5,16,0.626315789
InceptionResnetV2,5,17,0.689473684
InceptionResnetV2,5,18,0.531578947
InceptionResnetV2,5,19,0.231578947
InceptionResnetV2,5,20,0.4
InceptionResnetV2,5,21,0.652631579
InceptionResnetV2,5,22,0.663157895
InceptionResnetV2,5,23,0.705263158
InceptionResnetV2,5,24,0.642105263
InceptionResnetV2,5,25,0.468421053
InceptionResnetV2,5,26,0.610526316
InceptionResnetV2,5,27,0.573684211
InceptionResnetV2,5,28,0.815789474
InceptionResnetV2,5,29,0.747368421
ResneXt50,5,Total,0.353333333
ResneXt50,5,0,0.205263158
ResneXt50,5,1,0.721052632
ResneXt50,5,2,0.131578947
ResneXt50,5,3,0.3
ResneXt50,5,4,0.452631579
ResneXt50,5,5,0.673684211
ResneXt50,5,6,0.347368421
ResneXt50,5,7,0.342105263
ResneXt50,5,8,0.263157895
ResneXt50,5,9,0.010526316
ResneXt50,5,10,0.342105263
ResneXt50,5,11,0.494736842
ResneXt50,5,12,0.031578947
ResneXt50,5,13,0.136842105
ResneXt50,5,14,0.573684211
ResneXt50,5,15,0.231578947
ResneXt50,5,16,0.478947368
ResneXt50,5,17,0.457894737
ResneXt50,5,18,0.336842105
ResneXt50,5,19,0.421052632
ResneXt50,5,20,0.347368421
ResneXt50,5,21,0.047368421
ResneXt50,5,22,0.652631579
ResneXt50,5,23,0.005263158
ResneXt50,5,24,0.536842105
ResneXt50,5,25,0.589473684
ResneXt50,5,26,0.084210526
ResneXt50,5,27,0.094736842
ResneXt50,5,28,0.736842105
ResneXt50,5,29,0.552631579
